City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
146,bubaque,0,GW,1524543579,100,11.28,-15.83,78.34,13.78
147,chunoyar,92,RU,1524544117,99,57.45,97.32,38.02,7.74
148,mecca,0,SA,1524538800,51,21.43,39.83,80.6,2.71
149,zharkent,0,KZ,1524544117,44,44.17,80.0,57.82,4.27
150,ancud,24,CL,1524543702,84,-41.87,-73.83,40.0,2.48
151,bandar,76,ID,1524544117,100,-4.2,104.14,82.93,4.61
152,nicolas ruiz,40,MX,1524541260,65,16.4,-92.53,80.6,18.34
153,sailana,0,IN,1524544118,19,23.46,74.92,85.27,4.38
154,yellowknife,75,CA,1524538800,59,62.45,-114.38,33.8,6.93
155,chauk,80,MM,1524544118,70,20.89,94.82,84.01,3.15
156,leningradskiy,8,RU,1524544118,100,69.38,178.42,9.13,11.65
157,clyde river,75,CA,1524542400,77,70.47,-68.59,3.2,17.22
158,nanortalik,68,GL,1524543537,97,60.14,-45.24,30.73,5.73
159,iralaya,92,HN,1524544119,91,15.0,-83.23,80.32,9.08
160,san cristobal,40,EC,1524538800,93,-0.39,-78.55,48.2,2.24
161,port alfred,8,ZA,1524543492,97,-33.59,26.89,66.46,15.23
162,clarence town,20,AU,1524542400,56,-32.59,151.78,73.4,17.22
163,obzor,0,BG,1524542400,87,42.82,27.88,51.8,3.36
164,choix,0,MX,1524544120,27,26.71,-108.33,73.3,2.15
165,banepa,20,NP,1524541800,38,27.63,85.52,73.4,3.36
166,general roca,40,AR,1524538800,66,-39.03,-67.58,53.6,6.93
167,ati,0,TD,1524544121,28,13.21,18.34,71.95,7.18
168,mehamn,75,NO,1524541800,94,71.03,27.85,37.4,13.87
169,yokadouma,92,CM,1524544121,99,3.52,15.05,68.53,2.59
170,la libertad,0,PE,1524538800,71,-16.38,-71.56,55.4,4.7
171,agadez,0,NE,1524544121,19,16.97,7.99,70.78,7.07
172,sakaiminato,75,JP,1524540180,93,35.55,133.23,64.4,12.75
173,saint george,0,GR,1524541800,76,39.45,22.34,48.2,6.93
174,grindavik,90,IS,1524540600,86,63.84,-22.43,41.0,11.41
175,airai,0,TL,1524543636,43,-8.93,125.41,86.08,2.59
176,mahebourg,75,MU,1524542400,94,-20.41,57.7,77.0,28.86
177,te anau,0,NZ,1524543659,74,-45.41,167.72,52.6,5.84
178,geraldton,75,CA,1524538800,49,49.72,-86.95,46.4,8.05
179,turbat,0,PK,1524544123,57,26.0,63.05,68.53,2.37
180,sungairaya,88,ID,1524544132,85,0.7,108.9,83.56,1.36
181,kiama,0,AU,1524542400,44,-34.67,150.86,77.0,9.17
182,chimbote,24,PE,1524544132,90,-9.08,-78.59,66.91,5.95
183,oranjemund,88,ZA,1524544132,100,-28.55,16.43,60.7,6.85
184,udachnyy,68,RU,1524544133,57,66.42,112.4,17.14,10.2
185,saint-dizier,90,FR,1524542400,100,48.64,4.95,48.2,1.12
186,yulara,12,AU,1524542400,18,-25.24,130.99,87.8,6.93
187,sibu,75,MY,1524542400,70,2.29,111.83,87.8,5.82
188,matara,32,PE,1524544133,78,-13.74,-72.9,40.63,0.81
189,thinadhoo,92,MV,1524543998,100,0.53,72.93,85.45,14.23
190,valladolid,0,ES,1524543677,82,41.65,-4.73,50.62,4.16
191,taldan,24,RU,1524544134,40,53.69,124.82,64.75,4.72
192,christchurch,36,NZ,1524542400,39,-43.53,172.64,66.2,3.36
193,the valley,44,AI,1524543885,100,18.22,-63.06,78.43,15.79
194,ponta do sol,80,BR,1524543636,66,-20.63,-46.0,67.81,6.62
195,tual,24,ID,1524544134,98,-5.67,132.75,85.0,16.02
196,arkhara,48,RU,1524544135,41,49.42,130.09,65.92,5.39
197,ahvaz,0,IR,1524540600,40,31.32,48.68,73.4,2.93
198,oum hadjer,0,TD,1524544135,32,13.3,19.7,68.62,6.29
199,sorland,75,NO,1524541800,93,67.67,12.69,41.0,10.29
200,ixtapa,75,MX,1524537900,73,20.71,-105.21,75.2,2.24
201,arona,0,IT,1524541800,87,45.76,8.56,62.6,2.24
